Time,Channel A,Channel B
(ms),(mV),(V)

-2.36456395,0.39370080,-0.07874016
-2.36415595,0.78740160,0.00000000
-2.36374795,0.39370080,0.00000000
-2.36333995,0.78740160,-0.07874016
-2.36293195,0.39370080,0.00000000
-2.36252395,0.39370080,0.00000000
-2.36211595,0.78740160,0.00000000
-2.36170795,0.39370080,0.00000000
-2.36129995,0.78740160,0.00000000
-2.36089195,0.39370080,-0.07874016
-2.36048395,0.78740160,-0.07874016
-2.36007595,0.78740160,-0.07874016
-2.35966795,0.78740160,0.00000000
-2.35925995,0.39370080,0.00000000
-2.35885195,0.78740160,0.00000000
-2.35844395,0.78740160,0.00000000
-2.35803595,0.78740160,0.00000000
-2.35762795,0.78740160,0.00000000
-2.35721995,0.78740160,0.00000000
-2.35681195,0.78740160,0.00000000
-2.35640395,0.78740160,-0.07874016
-2.35599595,0.39370080,-0.07874016
-2.35558795,0.78740160,0.00000000
-2.35517995,0.39370080,0.00000000
-2.35477195,0.78740160,-0.07874016
-2.35436395,0.78740160,0.00000000
-2.35395595,1.18110200,0.00000000
-2.35354795,0.39370080,0.00000000
-2.35313995,0.78740160,0.00000000
-2.35273195,0.39370080,-0.07874016
-2.35232395,0.39370080,0.00000000
-2.35191595,0.78740160,0.00000000
-2.35150795,0.78740160,0.00000000
-2.35109995,0.78740160,0.00000000
-2.35069195,0.78740160,0.00000000
-2.35028395,0.78740160,0.00000000
-2.34987595,0.39370080,-0.07874016
-2.34946795,0.39370080,0.00000000
-2.34905995,0.78740160,0.00000000
-2.34865195,0.39370080,-0.07874016
-2.34824395,0.00000000,0.00000000
-2.34783595,0.00000000,0.00000000
-2.34742795,0.39370080,0.00000000
-2.34701995,0.39370080,0.00000000
-2.34661195,0.39370080,-0.07874016
-2.34620395,0.39370080,0.00000000
-2.34579595,0.39370080,-0.07874016
-2.34538795,0.00000000,0.00000000
-2.34497995,0.00000000,0.00000000
-2.34457195,0.00000000,0.00000000
-2.34416395,0.39370080,0.00000000
-2.34375595,0.00000000,0.00000000
-2.34334795,0.00000000,0.00000000
-2.34293995,0.00000000,0.00000000
-2.34253195,0.39370080,0.00000000
-2.34212395,0.00000000,0.00000000
-2.34171595,0.00000000,0.00000000
-2.34130795,0.00000000,0.00000000
-2.34089995,0.00000000,-0.07874016
-2.34049195,0.78740160,-0.07874016
-2.34008395,0.78740160,0.00000000
-2.33967595,0.39370080,0.00000000
-2.33926795,0.39370080,0.00000000
-2.33885995,0.39370080,-0.07874016
-2.33845195,0.78740160,0.00000000
-2.33804395,0.78740160,-0.07874016
-2.33763595,0.39370080,0.00000000
-2.33722795,0.78740160,0.00000000
-2.33681995,0.39370080,0.00000000
-2.33641195,0.78740160,0.00000000
-2.33600395,0.78740160,-0.07874016
-2.33559595,0.78740160,-0.07874016
-2.33518795,0.78740160,0.00000000
-2.33477995,0.39370080,-0.07874016
-2.33437195,0.78740160,-0.07874016
-2.33396395,0.78740160,0.00000000
-2.33355595,0.78740160,0.00000000
-2.33314795,1.18110200,0.00000000
-2.33273995,0.78740160,-0.07874016
-2.33233195,1.18110200,0.00000000
-2.33192395,0.78740160,0.00000000
-2.33151595,0.78740160,0.00000000
-2.33110795,0.78740160,0.00000000
-2.33069995,0.78740160,0.00000000
-2.33029195,0.78740160,-0.07874016
-2.32988395,0.78740160,0.00000000
-2.32947595,0.78740160,0.00000000
-2.32906795,0.78740160,-0.07874016
-2.32865995,0.78740160,-0.07874016
-2.32825195,0.39370080,-0.07874016
-2.32784395,0.78740160,0.00000000
-2.32743595,0.78740160,-0.07874016
-2.32702795,0.39370080,0.00000000
-2.32661995,0.39370080,0.00000000
-2.32621195,0.39370080,-0.07874016
-2.32580395,0.78740160,0.00000000
-2.32539595,0.78740160,0.00000000
-2.32498795,0.00000000,0.00000000
-2.32457995,0.39370080,-0.07874016
-2.32417195,0.39370080,-0.07874016
-2.32376395,0.39370080,0.00000000
-2.32335595,0.39370080,0.00000000
-2.32294795,0.39370080,0.00000000
-2.32253995,0.00000000,0.00000000
-2.32213195,0.39370080,0.00000000
-2.32172395,0.00000000,0.00000000
-2.32131595,0.00000000,0.00000000
-2.32090795,0.39370080,0.00000000
-2.32049995,0.00000000,0.00000000
-2.32009195,0.00000000,-0.07874016
-2.31968395,0.00000000,0.00000000
-2.31927595,0.39370080,0.00000000
-2.31886795,0.00000000,-0.07874016
-2.31845995,0.39370080,-0.07874016
-2.31805195,0.00000000,-0.07874016
-2.31764395,0.39370080,-0.07874016
-2.31723595,0.00000000,0.00000000
-2.31682795,0.00000000,0.00000000
-2.31641995,0.39370080,0.00000000
-2.31601195,0.39370080,0.00000000
-2.31560395,0.39370080,-0.07874016
-2.31519595,0.39370080,0.00000000
-2.31478795,0.39370080,-0.07874016
-2.31437995,0.78740160,-0.07874016
-2.31397195,0.00000000,0.00000000
-2.31356395,0.78740160,0.00000000
-2.31315595,0.78740160,-0.07874016
-2.31274795,0.39370080,0.00000000
-2.31233995,0.39370080,-0.07874016
-2.31193195,0.39370080,0.00000000
-2.31152395,0.78740160,-0.07874016
-2.31111595,0.78740160,-0.07874016
-2.31070795,0.78740160,0.00000000
-2.31029995,0.39370080,-0.07874016
-2.30989195,0.78740160,0.00000000
-2.30948395,0.78740160,0.00000000
-2.30907595,0.78740160,-0.07874016
-2.30866795,0.78740160,-0.07874016
-2.30825995,0.39370080,0.00000000
-2.30785195,1.18110200,0.00000000
-2.30744395,0.78740160,0.00000000
-2.30703595,0.78740160,-0.07874016
-2.30662795,0.78740160,-0.07874016
-2.30621995,0.78740160,0.00000000
-2.30581195,1.18110200,-0.07874016
-2.30540395,0.78740160,0.00000000
-2.30499595,0.78740160,0.00000000
-2.30458795,0.78740160,0.00000000
-2.30417995,0.78740160,0.00000000
-2.30377195,0.78740160,-0.07874016
-2.30336395,0.39370080,-0.07874016
-2.30295595,0.78740160,0.00000000
-2.30254795,0.39370080,0.00000000
-2.30213995,0.39370080,-0.07874016
-2.30173195,0.39370080,0.00000000
-2.30132395,0.39370080,0.00000000
-2.30091595,0.39370080,0.00000000
-2.30050795,0.39370080,-0.07874016
-2.30009995,0.39370080,-0.07874016
-2.29969195,0.39370080,0.00000000
-2.29928395,0.39370080,0.00000000
-2.29887595,0.39370080,-0.07874016
