Time,Channel A,Channel B
(ms),(mV),(V)

-2.36463195,0.39370080,0.00000000
-2.36422395,0.39370080,0.00000000
-2.36381595,0.39370080,0.00000000
-2.36340795,0.39370080,0.00000000
-2.36299995,0.39370080,-0.07874016
-2.36259195,0.39370080,0.00000000
-2.36218395,0.39370080,0.00000000
-2.36177595,0.78740160,0.00000000
-2.36136795,0.78740160,-0.07874016
-2.36095995,0.39370080,-0.07874016
-2.36055195,0.78740160,-0.07874016
-2.36014395,0.39370080,0.00000000
-2.35973595,0.39370080,0.00000000
-2.35932795,0.39370080,0.00000000
-2.35891995,0.39370080,0.00000000
-2.35851195,0.39370080,0.00000000
-2.35810395,0.39370080,-0.07874016
-2.35769595,0.39370080,0.00000000
-2.35728795,0.39370080,0.00000000
-2.35687995,0.39370080,0.00000000
-2.35647195,0.39370080,0.00000000
-2.35606395,0.00000000,0.00000000
-2.35565595,0.39370080,-0.07874016
-2.35524795,0.39370080,0.00000000
-2.35483995,0.39370080,-0.07874016
-2.35443195,0.39370080,0.00000000
-2.35402395,0.39370080,-0.07874016
-2.35361595,0.39370080,0.00000000
-2.35320795,0.39370080,-0.07874016
-2.35279995,0.39370080,0.00000000
-2.35239195,0.00000000,0.00000000
-2.35198395,0.00000000,0.00000000
-2.35157595,0.39370080,0.00000000
-2.35116795,0.39370080,0.00000000
-2.35075995,0.39370080,-0.07874016
-2.35035195,0.00000000,0.00000000
-2.34994395,0.39370080,0.00000000
-2.34953595,0.39370080,0.00000000
-2.34912795,0.00000000,-0.07874016
-2.34871995,0.39370080,0.00000000
-2.34831195,0.78740160,0.00000000
-2.34790395,0.39370080,-0.07874016
-2.34749595,0.78740160,0.00000000
-2.34708795,0.39370080,0.00000000
-2.34667995,0.39370080,0.00000000
-2.34627195,0.39370080,-0.07874016
-2.34586395,0.39370080,0.00000000
-2.34545595,0.39370080,0.00000000
-2.34504795,0.39370080,-0.07874016
-2.34463995,0.78740160,0.00000000
-2.34423195,0.39370080,0.00000000
-2.34382395,0.00000000,0.00000000
-2.34341595,0.00000000,-0.07874016
-2.34300795,0.00000000,0.00000000
-2.34259995,0.00000000,0.00000000
-2.34219195,0.39370080,0.00000000
-2.34178395,0.39370080,0.00000000
-2.34137595,0.39370080,0.00000000
-2.34096795,0.39370080,0.00000000
-2.34055995,0.00000000,-0.07874016
-2.34015195,0.39370080,0.00000000
-2.33974395,0.39370080,0.00000000
-2.33933595,0.39370080,0.00000000
-2.33892795,0.39370080,0.00000000
-2.33851995,0.00000000,-0.07874016
-2.33811195,0.39370080,0.00000000
-2.33770395,0.39370080,-0.07874016
-2.33729595,0.39370080,0.00000000
-2.33688795,0.39370080,0.00000000
-2.33647995,0.39370080,0.00000000
-2.33607195,0.39370080,-0.07874016
-2.33566395,0.78740160,0.00000000
-2.33525595,0.39370080,-0.07874016
-2.33484795,0.00000000,0.00000000
-2.33443995,0.39370080,0.00000000
-2.33403195,0.39370080,0.00000000
-2.33362395,0.39370080,0.00000000
-2.33321595,0.39370080,0.00000000
-2.33280795,0.39370080,0.00000000
-2.33239995,0.39370080,0.00000000
-2.33199195,0.39370080,0.00000000
-2.33158395,0.78740160,0.00000000
-2.33117595,0.39370080,0.00000000
-2.33076795,0.39370080,0.00000000
-2.33035995,0.39370080,0.00000000
-2.32995195,0.00000000,0.00000000
-2.32954395,0.39370080,0.00000000
-2.32913595,0.78740160,0.00000000
-2.32872795,0.39370080,0.00000000
-2.32831995,0.39370080,0.00000000
-2.32791195,0.00000000,0.00000000
-2.32750395,0.39370080,0.00000000
-2.32709595,0.00000000,0.00000000
-2.32668795,0.39370080,0.00000000
-2.32627995,0.39370080,0.00000000
-2.32587195,0.39370080,0.00000000
-2.32546395,0.39370080,-0.07874016
-2.32505595,0.39370080,0.00000000
-2.32464795,0.39370080,-0.07874016
-2.32423995,0.39370080,-0.07874016
-2.32383195,0.39370080,0.00000000
-2.32342395,0.00000000,0.00000000
-2.32301595,0.39370080,0.00000000
-2.32260795,0.39370080,0.00000000
-2.32219995,0.00000000,0.00000000
-2.32179195,0.39370080,-0.07874016
-2.32138395,0.39370080,-0.07874016
-2.32097595,0.39370080,0.00000000
-2.32056795,0.39370080,0.00000000
-2.32015995,0.39370080,0.00000000
-2.31975195,0.39370080,-0.07874016
-2.31934395,0.78740160,-0.07874016
-2.31893595,0.39370080,-0.07874016
-2.31852795,0.39370080,0.00000000
-2.31811995,0.39370080,0.00000000
-2.31771195,0.39370080,0.00000000
-2.31730395,0.00000000,-0.07874016
-2.31689595,0.39370080,0.00000000
-2.31648795,0.39370080,0.00000000
-2.31607995,0.78740160,0.00000000
-2.31567195,0.39370080,-0.07874016
-2.31526395,0.39370080,0.00000000
-2.31485595,0.39370080,0.00000000
-2.31444795,0.39370080,0.00000000
-2.31403995,0.78740160,-0.07874016
-2.31363195,0.00000000,0.00000000
-2.31322395,0.78740160,0.00000000
-2.31281595,0.39370080,0.00000000
-2.31240795,0.39370080,-0.07874016
-2.31199995,0.39370080,0.00000000
-2.31159195,0.39370080,-0.07874016
-2.31118395,0.39370080,0.00000000
-2.31077595,0.39370080,-0.07874016
-2.31036795,0.39370080,0.00000000
-2.30995995,0.39370080,0.00000000
-2.30955195,0.39370080,-0.07874016
-2.30914395,0.39370080,0.00000000
-2.30873595,0.39370080,0.00000000
-2.30832795,0.39370080,-0.07874016
-2.30791995,0.39370080,0.00000000
-2.30751195,0.78740160,0.00000000
-2.30710395,0.39370080,0.00000000
-2.30669595,0.39370080,0.00000000
-2.30628795,0.39370080,0.00000000
-2.30587995,0.39370080,0.00000000
-2.30547195,0.39370080,0.00000000
-2.30506395,0.39370080,0.00000000
-2.30465595,0.78740160,0.00000000
-2.30424795,0.39370080,-0.07874016
-2.30383995,0.00000000,0.00000000
-2.30343195,0.00000000,0.00000000
-2.30302395,0.39370080,0.00000000
-2.30261595,0.00000000,0.00000000
-2.30220795,0.39370080,0.00000000
-2.30179995,0.00000000,0.00000000
-2.30139195,0.00000000,0.00000000
-2.30098395,0.39370080,-0.07874016
-2.30057595,0.00000000,0.00000000
-2.30016795,0.39370080,-0.07874016
-2.29975995,0.00000000,0.00000000
-2.29935195,0.39370080,-0.07874016
-2.29894395,0.00000000,0.00000000
-2.29853595,0.39370080,0.00000000
