Time,Channel A,Channel B
(ms),(mV),(V)

-2.36461495,0.39370080,0.00000000
-2.36420695,0.39370080,-0.07874016
-2.36379895,0.78740160,0.00000000
-2.36339095,0.39370080,0.00000000
-2.36298295,0.39370080,0.00000000
-2.36257495,0.39370080,0.00000000
-2.36216695,0.39370080,-0.07874016
-2.36175895,0.39370080,-0.07874016
-2.36135095,0.39370080,0.00000000
-2.36094295,0.39370080,0.00000000
-2.36053495,0.39370080,-0.07874016
-2.36012695,0.39370080,0.00000000
-2.35971895,0.39370080,0.00000000
-2.35931095,0.00000000,0.00000000
-2.35890295,0.39370080,-0.07874016
-2.35849495,0.39370080,0.00000000
-2.35808695,0.78740160,0.00000000
-2.35767895,0.00000000,0.00000000
-2.35727095,0.78740160,0.00000000
-2.35686295,0.39370080,-0.07874016
-2.35645495,0.39370080,-0.07874016
-2.35604695,0.39370080,0.00000000
-2.35563895,0.00000000,0.00000000
-2.35523095,0.39370080,0.00000000
-2.35482295,0.78740160,-0.07874016
-2.35441495,0.39370080,0.00000000
-2.35400695,0.39370080,0.00000000
-2.35359895,0.78740160,0.00000000
-2.35319095,0.39370080,-0.07874016
-2.35278295,0.39370080,0.00000000
-2.35237495,0.39370080,0.00000000
-2.35196695,0.39370080,-0.07874016
-2.35155895,0.00000000,0.00000000
-2.35115095,0.39370080,0.00000000
-2.35074295,0.78740160,0.00000000
-2.35033495,0.39370080,0.00000000
-2.34992695,0.39370080,0.00000000
-2.34951895,0.39370080,0.00000000
-2.34911095,0.78740160,0.00000000
-2.34870295,0.78740160,-0.07874016
-2.34829495,0.39370080,-0.07874016
-2.34788695,0.39370080,0.00000000
-2.34747895,0.00000000,-0.07874016
-2.34707095,0.78740160,0.00000000
-2.34666295,0.39370080,-0.07874016
-2.34625495,0.39370080,0.00000000
-2.34584695,0.39370080,-0.07874016
-2.34543895,0.39370080,-0.07874016
-2.34503095,0.39370080,0.00000000
-2.34462295,0.00000000,0.00000000
-2.34421495,0.39370080,0.00000000
-2.34380695,0.00000000,0.00000000
-2.34339895,0.39370080,-0.07874016
-2.34299095,0.39370080,0.00000000
-2.34258295,0.39370080,0.00000000
-2.34217495,0.39370080,-0.07874016
-2.34176695,0.39370080,-0.07874016
-2.34135895,0.39370080,0.00000000
-2.34095095,0.00000000,0.00000000
-2.34054295,0.39370080,0.00000000
-2.34013495,0.39370080,0.00000000
-2.33972695,0.78740160,0.00000000
-2.33931895,0.39370080,0.00000000
-2.33891095,0.39370080,0.00000000
-2.33850295,0.39370080,-0.07874016
-2.33809495,0.39370080,0.00000000
-2.33768695,0.78740160,0.00000000
-2.33727895,0.39370080,0.00000000
-2.33687095,0.39370080,0.00000000
-2.33646295,0.39370080,0.00000000
-2.33605495,0.39370080,-0.07874016
-2.33564695,0.39370080,0.00000000
-2.33523895,0.00000000,0.00000000
-2.33483095,0.39370080,0.00000000
-2.33442295,0.78740160,-0.07874016
-2.33401495,0.78740160,0.00000000
-2.33360695,0.39370080,0.00000000
-2.33319895,0.39370080,-0.07874016
-2.33279095,0.39370080,0.00000000
-2.33238295,0.39370080,0.00000000
-2.33197495,0.39370080,-0.07874016
-2.33156695,0.78740160,0.00000000
-2.33115895,0.39370080,-0.07874016
-2.33075095,0.39370080,0.00000000
-2.33034295,0.78740160,0.00000000
-2.32993495,0.39370080,0.00000000
-2.32952695,0.39370080,0.00000000
-2.32911895,0.39370080,0.00000000
-2.32871095,0.00000000,0.00000000
-2.32830295,0.00000000,0.00000000
-2.32789495,0.39370080,0.00000000
-2.32748695,0.39370080,-0.07874016
-2.32707895,0.78740160,0.00000000
-2.32667095,0.39370080,0.00000000
-2.32626295,0.39370080,0.00000000
-2.32585495,0.39370080,0.00000000
-2.32544695,0.39370080,0.00000000
-2.32503895,0.78740160,-0.07874016
-2.32463095,0.39370080,-0.07874016
-2.32422295,0.78740160,0.00000000
-2.32381495,0.39370080,-0.07874016
-2.32340695,0.39370080,0.00000000
-2.32299895,0.39370080,-0.07874016
-2.32259095,0.39370080,0.00000000
-2.32218295,0.39370080,0.00000000
-2.32177495,0.39370080,-0.07874016
-2.32136695,0.39370080,-0.07874016
-2.32095895,0.39370080,0.00000000
-2.32055095,0.39370080,0.00000000
-2.32014295,0.39370080,0.00000000
-2.31973495,0.39370080,0.00000000
-2.31932695,0.00000000,0.00000000
-2.31891895,0.39370080,0.00000000
-2.31851095,0.39370080,0.00000000
-2.31810295,0.39370080,-0.07874016
-2.31769495,0.00000000,-0.07874016
-2.31728695,0.39370080,-0.07874016
-2.31687895,0.39370080,0.00000000
-2.31647095,0.39370080,-0.07874016
-2.31606295,0.39370080,0.00000000
-2.31565495,0.39370080,0.00000000
-2.31524695,0.39370080,0.00000000
-2.31483895,0.39370080,0.00000000
-2.31443095,0.39370080,0.00000000
-2.31402295,0.39370080,0.00000000
-2.31361495,0.39370080,0.00000000
-2.31320695,0.39370080,-0.07874016
-2.31279895,0.39370080,0.00000000
-2.31239095,0.39370080,0.00000000
-2.31198295,0.39370080,0.00000000
-2.31157495,0.39370080,-0.07874016
-2.31116695,0.00000000,0.00000000
-2.31075895,0.78740160,0.00000000
-2.31035095,0.39370080,0.00000000
-2.30994295,0.00000000,0.00000000
-2.30953495,0.39370080,0.00000000
-2.30912695,0.39370080,-0.07874016
-2.30871895,0.00000000,0.00000000
-2.30831095,0.39370080,-0.07874016
-2.30790295,0.39370080,0.00000000
-2.30749495,0.39370080,-0.07874016
-2.30708695,0.78740160,0.00000000
-2.30667895,0.39370080,0.00000000
-2.30627095,0.78740160,0.00000000
-2.30586295,0.39370080,-0.07874016
-2.30545495,0.39370080,0.00000000
-2.30504695,0.39370080,0.00000000
-2.30463895,0.39370080,0.00000000
-2.30423095,0.39370080,0.00000000
-2.30382295,0.39370080,0.00000000
-2.30341495,0.39370080,0.00000000
-2.30300695,0.39370080,0.00000000
-2.30259895,0.39370080,-0.07874016
-2.30219095,0.00000000,0.00000000
-2.30178295,0.78740160,0.00000000
-2.30137495,0.39370080,0.00000000
-2.30096695,0.39370080,0.00000000
-2.30055895,0.39370080,0.00000000
-2.30015095,0.00000000,0.00000000
-2.29974295,0.78740160,0.00000000
-2.29933495,0.39370080,0.00000000
-2.29892695,0.39370080,-0.07874016
-2.29851895,0.39370080,-0.07874016
