Time,Channel A,Channel B
(ms),(mV),(V)

-2.36451295,0.78740160,0.00000000
-2.36410495,0.39370080,0.00000000
-2.36369695,0.39370080,0.00000000
-2.36328895,0.39370080,0.00000000
-2.36288095,0.39370080,-0.07874016
-2.36247295,0.39370080,0.00000000
-2.36206495,0.39370080,0.00000000
-2.36165695,0.39370080,0.00000000
-2.36124895,0.78740160,-0.07874016
-2.36084095,0.39370080,0.00000000
-2.36043295,0.39370080,0.00000000
-2.36002495,0.00000000,0.00000000
-2.35961695,0.78740160,0.00000000
-2.35920895,0.39370080,0.00000000
-2.35880095,0.78740160,0.00000000
-2.35839295,0.39370080,0.00000000
-2.35798495,0.39370080,0.00000000
-2.35757695,0.78740160,0.00000000
-2.35716895,0.78740160,-0.07874016
-2.35676095,0.39370080,-0.07874016
-2.35635295,0.00000000,0.00000000
-2.35594495,0.78740160,-0.07874016
-2.35553695,0.39370080,0.00000000
-2.35512895,0.39370080,0.00000000
-2.35472095,0.39370080,0.00000000
-2.35431295,0.39370080,0.00000000
-2.35390495,0.78740160,0.00000000
-2.35349695,0.78740160,0.00000000
-2.35308895,0.78740160,0.00000000
-2.35268095,0.39370080,0.00000000
-2.35227295,0.00000000,0.00000000
-2.35186495,0.39370080,0.00000000
-2.35145695,0.39370080,-0.07874016
-2.35104895,0.39370080,0.00000000
-2.35064095,0.39370080,-0.07874016
-2.35023295,0.39370080,0.00000000
-2.34982495,0.39370080,-0.07874016
-2.34941695,0.39370080,0.00000000
-2.34900895,0.39370080,0.00000000
-2.34860095,0.39370080,0.00000000
-2.34819295,0.39370080,0.00000000
-2.34778495,0.78740160,-0.07874016
-2.34737695,0.78740160,0.00000000
-2.34696895,0.39370080,-0.07874016
-2.34656095,0.39370080,0.00000000
-2.34615295,0.78740160,0.00000000
-2.34574495,0.78740160,0.00000000
-2.34533695,0.39370080,0.00000000
-2.34492895,0.78740160,0.00000000
-2.34452095,0.78740160,0.00000000
-2.34411295,0.39370080,0.00000000
-2.34370495,0.39370080,0.00000000
-2.34329695,0.78740160,-0.07874016
-2.34288895,0.39370080,-0.07874016
-2.34248095,0.39370080,0.00000000
-2.34207295,0.39370080,0.00000000
-2.34166495,0.78740160,0.00000000
-2.34125695,0.39370080,0.00000000
-2.34084895,0.78740160,0.00000000
-2.34044095,0.39370080,0.00000000
-2.34003295,0.78740160,-0.07874016
-2.33962495,0.39370080,-0.07874016
-2.33921695,0.39370080,-0.07874016
-2.33880895,0.39370080,0.00000000
-2.33840095,0.78740160,0.00000000
-2.33799295,0.39370080,0.00000000
-2.33758495,0.78740160,0.00000000
-2.33717695,0.39370080,0.00000000
-2.33676895,0.78740160,0.00000000
-2.33636095,0.39370080,0.00000000
-2.33595295,0.78740160,0.00000000
-2.33554495,0.78740160,0.00000000
-2.33513695,0.39370080,0.00000000
-2.33472895,0.00000000,0.00000000
-2.33432095,0.78740160,-0.07874016
-2.33391295,0.39370080,0.00000000
-2.33350495,0.78740160,0.00000000
-2.33309695,0.78740160,0.00000000
-2.33268895,0.39370080,-0.07874016
-2.33228095,0.78740160,0.00000000
-2.33187295,0.39370080,0.00000000
-2.33146495,0.39370080,0.00000000
-2.33105695,0.39370080,-0.07874016
-2.33064895,0.39370080,0.00000000
-2.33024095,0.39370080,-0.07874016
-2.32983295,0.78740160,0.00000000
-2.32942495,0.39370080,0.00000000
-2.32901695,0.39370080,-0.07874016
-2.32860895,0.78740160,0.00000000
-2.32820095,0.39370080,0.00000000
-2.32779295,0.78740160,0.00000000
-2.32738495,0.39370080,-0.07874016
-2.32697695,0.78740160,-0.07874016
-2.32656895,0.39370080,0.00000000
-2.32616095,0.78740160,0.00000000
-2.32575295,0.39370080,-0.07874016
-2.32534495,0.00000000,-0.07874016
-2.32493695,0.39370080,0.00000000
-2.32452895,0.78740160,-0.07874016
-2.32412095,0.39370080,-0.07874016
-2.32371295,0.39370080,0.00000000
-2.32330495,0.39370080,0.00000000
-2.32289695,0.39370080,0.00000000
-2.32248895,0.39370080,0.00000000
-2.32208095,0.39370080,-0.07874016
-2.32167295,0.39370080,-0.07874016
-2.32126495,0.78740160,0.00000000
-2.32085695,0.39370080,-0.07874016
-2.32044895,0.39370080,0.00000000
-2.32004095,0.78740160,-0.07874016
-2.31963295,0.39370080,-0.07874016
-2.31922495,0.39370080,0.00000000
-2.31881695,0.39370080,-0.07874016
-2.31840895,0.39370080,0.00000000
-2.31800095,0.39370080,0.00000000
-2.31759295,0.78740160,0.00000000
-2.31718495,0.39370080,0.00000000
-2.31677695,0.39370080,0.00000000
-2.31636895,0.78740160,-0.07874016
-2.31596095,0.78740160,0.00000000
-2.31555295,0.39370080,0.00000000
-2.31514495,0.39370080,0.00000000
-2.31473695,0.78740160,0.00000000
-2.31432895,0.78740160,0.00000000
-2.31392095,0.78740160,0.00000000
-2.31351295,0.39370080,0.00000000
-2.31310495,0.39370080,-0.07874016
-2.31269695,0.78740160,0.00000000
-2.31228895,0.00000000,0.00000000
-2.31188095,0.39370080,0.00000000
-2.31147295,0.78740160,0.00000000
-2.31106495,0.78740160,0.00000000
-2.31065695,0.39370080,0.00000000
-2.31024895,0.39370080,0.00000000
-2.30984095,0.78740160,0.00000000
-2.30943295,0.39370080,0.00000000
-2.30902495,0.78740160,0.00000000
-2.30861695,0.78740160,0.00000000
-2.30820895,0.39370080,0.00000000
-2.30780095,0.78740160,0.00000000
-2.30739295,0.39370080,0.00000000
-2.30698495,0.39370080,-0.07874016
-2.30657695,0.78740160,0.00000000
-2.30616895,0.39370080,0.00000000
-2.30576095,0.78740160,0.00000000
-2.30535295,0.39370080,-0.07874016
-2.30494495,0.78740160,0.00000000
-2.30453695,0.39370080,0.00000000
-2.30412895,0.78740160,-0.07874016
-2.30372095,0.39370080,0.00000000
-2.30331295,0.78740160,0.00000000
-2.30290495,0.39370080,0.00000000
-2.30249695,0.39370080,0.00000000
-2.30208895,0.39370080,0.00000000
-2.30168095,0.39370080,0.00000000
-2.30127295,0.78740160,0.00000000
-2.30086495,0.39370080,0.00000000
-2.30045695,0.39370080,0.00000000
-2.30004895,0.78740160,-0.07874016
-2.29964095,0.39370080,0.00000000
-2.29923295,0.39370080,0.00000000
-2.29882495,0.39370080,0.00000000
-2.29841695,0.78740160,-0.07874016
