Time,Channel A,Channel B
(ms),(mV),(V)

-2.36458661,0.39370080,-0.07874016
-2.36417861,0.00000000,0.00000000
-2.36377061,0.39370080,-0.07874016
-2.36336261,0.39370080,0.00000000
-2.36295461,0.39370080,-0.07874016
-2.36254661,0.00000000,0.00000000
-2.36213861,0.78740160,0.00000000
-2.36173061,0.39370080,-0.07874016
-2.36132262,0.78740160,0.00000000
-2.36091462,0.78740160,0.00000000
-2.36050662,0.78740160,-0.07874016
-2.36009862,0.78740160,0.00000000
-2.35969062,0.39370080,0.00000000
-2.35928262,0.78740160,0.00000000
-2.35887462,0.78740160,0.00000000
-2.35846662,0.39370080,0.00000000
-2.35805862,0.78740160,-0.07874016
-2.35765062,0.78740160,0.00000000
-2.35724262,0.39370080,-0.07874016
-2.35683462,0.78740160,0.00000000
-2.35642662,0.78740160,-0.07874016
-2.35601862,0.39370080,0.00000000
-2.35561062,0.39370080,-0.07874016
-2.35520262,0.78740160,0.00000000
-2.35479462,0.39370080,0.00000000
-2.35438662,0.78740160,0.00000000
-2.35397862,0.39370080,-0.07874016
-2.35357062,0.39370080,0.00000000
-2.35316262,0.78740160,-0.07874016
-2.35275462,0.39370080,-0.07874016
-2.35234662,0.39370080,0.00000000
-2.35193862,0.78740160,0.00000000
-2.35153062,0.39370080,0.00000000
-2.35112262,0.39370080,0.00000000
-2.35071462,0.39370080,0.00000000
-2.35030662,0.39370080,0.00000000
-2.34989862,0.78740160,0.00000000
-2.34949062,0.39370080,-0.07874016
-2.34908262,0.78740160,0.00000000
-2.34867462,0.00000000,0.00000000
-2.34826662,0.00000000,-0.07874016
-2.34785862,0.00000000,0.00000000
-2.34745062,0.39370080,0.00000000
-2.34704262,0.39370080,-0.07874016
-2.34663462,0.39370080,-0.07874016
-2.34622662,0.39370080,0.00000000
-2.34581862,0.39370080,0.00000000
-2.34541062,0.39370080,-0.07874016
-2.34500262,0.39370080,0.00000000
-2.34459462,0.39370080,0.00000000
-2.34418662,0.00000000,-0.07874016
-2.34377862,0.39370080,0.00000000
-2.34337062,0.78740160,-0.07874016
-2.34296262,0.39370080,0.00000000
-2.34255462,0.78740160,-0.07874016
-2.34214662,0.39370080,0.00000000
-2.34173862,0.39370080,-0.07874016
-2.34133062,0.39370080,0.00000000
-2.34092262,0.39370080,-0.07874016
-2.34051462,0.00000000,0.00000000
-2.34010662,0.78740160,0.00000000
-2.33969862,0.39370080,0.00000000
-2.33929062,0.78740160,0.00000000
-2.33888262,0.39370080,0.00000000
-2.33847462,0.39370080,-0.07874016
-2.33806662,0.39370080,0.00000000
-2.33765862,0.39370080,-0.07874016
-2.33725062,0.39370080,-0.07874016
-2.33684262,0.78740160,-0.07874016
-2.33643462,0.78740160,0.00000000
-2.33602662,0.39370080,0.00000000
-2.33561862,0.78740160,0.00000000
-2.33521062,0.39370080,-0.07874016
-2.33480262,0.78740160,0.00000000
-2.33439462,0.78740160,0.00000000
-2.33398662,0.78740160,0.00000000
-2.33357862,0.78740160,-0.07874016
-2.33317062,0.78740160,-0.07874016
-2.33276262,0.39370080,-0.07874016
-2.33235462,0.78740160,0.00000000
-2.33194662,0.39370080,0.00000000
-2.33153862,0.39370080,-0.07874016
-2.33113062,0.78740160,0.00000000
-2.33072262,0.39370080,0.00000000
-2.33031462,0.39370080,-0.07874016
-2.32990662,0.39370080,0.00000000
-2.32949862,0.78740160,0.00000000
-2.32909062,0.39370080,0.00000000
-2.32868262,0.39370080,0.00000000
-2.32827462,0.78740160,0.00000000
-2.32786662,0.78740160,0.00000000
-2.32745862,0.39370080,0.00000000
-2.32705062,0.78740160,-0.07874016
-2.32664262,0.39370080,0.00000000
-2.32623462,0.39370080,-0.07874016
-2.32582662,0.39370080,0.00000000
-2.32541862,0.39370080,0.00000000
-2.32501062,0.39370080,0.00000000
-2.32460262,0.39370080,-0.07874016
-2.32419462,0.39370080,0.00000000
-2.32378662,0.39370080,0.00000000
-2.32337862,0.39370080,0.00000000
-2.32297062,0.00000000,-0.07874016
-2.32256262,0.78740160,0.00000000
-2.32215462,0.39370080,0.00000000
-2.32174662,0.00000000,0.00000000
-2.32133862,0.78740160,-0.07874016
-2.32093062,0.39370080,0.00000000
-2.32052262,0.39370080,-0.07874016
-2.32011462,0.39370080,0.00000000
-2.31970662,0.39370080,-0.07874016
-2.31929862,0.39370080,0.00000000
-2.31889062,0.39370080,-0.07874016
-2.31848262,0.39370080,0.00000000
-2.31807462,0.39370080,-0.07874016
-2.31766662,0.39370080,0.00000000
-2.31725862,0.78740160,0.00000000
-2.31685062,0.39370080,0.00000000
-2.31644262,0.39370080,0.00000000
-2.31603462,0.39370080,0.00000000
-2.31562662,0.39370080,0.00000000
-2.31521862,0.39370080,0.00000000
-2.31481062,0.78740160,-0.07874016
-2.31440262,0.39370080,0.00000000
-2.31399462,0.39370080,-0.07874016
-2.31358662,0.39370080,0.00000000
-2.31317862,0.78740160,0.00000000
-2.31277062,0.00000000,0.00000000
-2.31236262,0.39370080,0.00000000
-2.31195462,0.00000000,0.00000000
-2.31154662,0.78740160,-0.07874016
-2.31113862,0.78740160,0.00000000
-2.31073062,0.78740160,0.00000000
-2.31032262,0.78740160,0.00000000
-2.30991462,0.39370080,-0.07874016
-2.30950662,0.78740160,0.00000000
-2.30909862,0.39370080,-0.07874016
-2.30869062,0.78740160,0.00000000
-2.30828262,0.39370080,0.00000000
-2.30787462,0.39370080,0.00000000
-2.30746662,0.78740160,-0.07874016
-2.30705862,0.39370080,0.00000000
-2.30665062,0.39370080,0.00000000
-2.30624262,0.39370080,0.00000000
-2.30583462,0.39370080,-0.07874016
-2.30542662,0.39370080,0.00000000
-2.30501862,0.39370080,0.00000000
-2.30461062,0.78740160,0.00000000
-2.30420262,0.39370080,0.00000000
-2.30379462,0.39370080,0.00000000
-2.30338662,0.39370080,-0.07874016
-2.30297862,0.39370080,-0.07874016
-2.30257062,0.39370080,0.00000000
-2.30216262,0.39370080,0.00000000
-2.30175462,0.39370080,0.00000000
-2.30134662,0.39370080,-0.07874016
-2.30093862,0.39370080,0.00000000
-2.30053062,0.39370080,0.00000000
-2.30012262,0.39370080,0.00000000
-2.29971462,0.39370080,0.00000000
-2.29930662,0.39370080,0.00000000
-2.29889862,0.39370080,0.00000000
-2.29849062,0.39370080,0.00000000
