Time,Channel A,Channel B
(ms),(mV),(V)

-2.36445061,0.78740160,0.00000000
-2.36404261,0.78740160,0.00000000
-2.36363461,0.39370080,0.00000000
-2.36322661,0.78740160,0.00000000
-2.36281861,0.39370080,0.00000000
-2.36241061,0.78740160,-0.07874016
-2.36200261,0.78740160,0.00000000
-2.36159461,0.78740160,0.00000000
-2.36118662,0.78740160,0.00000000
-2.36077862,0.39370080,0.00000000
-2.36037062,0.78740160,0.00000000
-2.35996262,0.78740160,0.00000000
-2.35955462,0.78740160,0.00000000
-2.35914662,0.78740160,0.00000000
-2.35873862,0.78740160,0.00000000
-2.35833062,0.39370080,0.00000000
-2.35792262,0.78740160,0.00000000
-2.35751462,0.39370080,0.00000000
-2.35710662,0.78740160,0.00000000
-2.35669862,0.39370080,-0.07874016
-2.35629062,0.39370080,0.00000000
-2.35588262,0.39370080,0.00000000
-2.35547462,0.39370080,0.00000000
-2.35506662,0.39370080,0.00000000
-2.35465862,0.78740160,-0.07874016
-2.35425062,0.78740160,0.00000000
-2.35384262,0.39370080,-0.07874016
-2.35343462,0.00000000,0.00000000
-2.35302662,0.39370080,0.00000000
-2.35261862,0.39370080,0.00000000
-2.35221062,0.39370080,-0.07874016
-2.35180262,0.39370080,0.00000000
-2.35139462,0.39370080,0.00000000
-2.35098662,0.39370080,0.00000000
-2.35057862,0.39370080,0.00000000
-2.35017062,0.39370080,0.00000000
-2.34976262,0.39370080,0.00000000
-2.34935462,0.39370080,-0.07874016
-2.34894662,0.39370080,0.00000000
-2.34853862,0.00000000,0.00000000
-2.34813062,0.78740160,-0.07874016
-2.34772262,0.78740160,0.00000000
-2.34731462,0.39370080,0.00000000
-2.34690662,0.78740160,0.00000000
-2.34649862,0.39370080,0.00000000
-2.34609062,0.39370080,0.00000000
-2.34568262,0.78740160,0.00000000
-2.34527462,0.39370080,0.00000000
-2.34486662,0.39370080,-0.07874016
-2.34445862,0.39370080,0.00000000
-2.34405062,0.78740160,0.00000000
-2.34364262,0.39370080,0.00000000
-2.34323462,0.39370080,-0.07874016
-2.34282662,0.39370080,-0.07874016
-2.34241862,0.39370080,0.00000000
-2.34201062,0.39370080,0.00000000
-2.34160262,0.78740160,0.00000000
-2.34119462,0.39370080,0.00000000
-2.34078662,0.78740160,0.00000000
-2.34037862,0.39370080,0.00000000
-2.33997062,0.78740160,0.00000000
-2.33956262,0.78740160,0.00000000
-2.33915462,0.78740160,0.00000000
-2.33874662,0.39370080,0.00000000
-2.33833862,0.39370080,-0.07874016
-2.33793062,0.39370080,-0.07874016
-2.33752262,0.78740160,0.00000000
-2.33711462,0.39370080,0.00000000
-2.33670662,0.39370080,0.00000000
-2.33629862,0.78740160,0.00000000
-2.33589062,0.78740160,0.00000000
-2.33548262,0.39370080,0.00000000
-2.33507462,0.78740160,-0.07874016
-2.33466662,0.78740160,0.00000000
-2.33425862,0.39370080,0.00000000
-2.33385062,0.39370080,0.00000000
-2.33344262,0.78740160,0.00000000
-2.33303462,0.39370080,0.00000000
-2.33262662,0.39370080,0.00000000
-2.33221862,0.39370080,0.00000000
-2.33181062,0.78740160,0.00000000
-2.33140262,0.78740160,0.00000000
-2.33099462,0.39370080,0.00000000
-2.33058662,0.78740160,0.00000000
-2.33017862,0.39370080,0.00000000
-2.32977062,0.39370080,-0.07874016
-2.32936262,0.00000000,-0.07874016
-2.32895462,0.39370080,0.00000000
-2.32854662,0.78740160,0.00000000
-2.32813862,0.78740160,0.00000000
-2.32773062,0.39370080,0.00000000
-2.32732262,0.39370080,0.00000000
-2.32691462,0.39370080,-0.07874016
-2.32650662,0.39370080,-0.07874016
-2.32609862,0.39370080,-0.07874016
-2.32569062,0.39370080,0.00000000
-2.32528262,0.78740160,0.00000000
-2.32487462,0.39370080,0.00000000
-2.32446662,0.39370080,0.00000000
-2.32405862,0.39370080,0.00000000
-2.32365062,0.39370080,-0.07874016
-2.32324262,0.00000000,0.00000000
-2.32283462,0.39370080,0.00000000
-2.32242662,0.39370080,0.00000000
-2.32201862,0.39370080,-0.07874016
-2.32161062,0.39370080,0.00000000
-2.32120262,0.39370080,0.00000000
-2.32079462,0.39370080,0.00000000
-2.32038662,0.39370080,0.00000000
-2.31997862,0.39370080,0.00000000
-2.31957062,0.78740160,0.00000000
-2.31916262,0.39370080,0.00000000
-2.31875462,0.39370080,-0.07874016
-2.31834662,0.39370080,-0.07874016
-2.31793862,0.39370080,0.00000000
-2.31753062,0.78740160,0.00000000
-2.31712262,0.78740160,0.00000000
-2.31671462,0.39370080,0.00000000
-2.31630662,0.39370080,0.00000000
-2.31589862,0.39370080,0.00000000
-2.31549062,0.39370080,0.00000000
-2.31508262,0.78740160,-0.07874016
-2.31467462,0.78740160,-0.07874016
-2.31426662,0.39370080,0.00000000
-2.31385862,0.78740160,0.00000000
-2.31345062,0.39370080,0.00000000
-2.31304262,1.18110200,0.00000000
-2.31263462,0.39370080,0.00000000
-2.31222662,0.78740160,0.00000000
-2.31181862,0.78740160,0.00000000
-2.31141062,0.78740160,-0.07874016
-2.31100262,0.78740160,0.00000000
-2.31059462,0.78740160,-0.07874016
-2.31018662,0.39370080,0.00000000
-2.30977862,0.39370080,0.00000000
-2.30937062,0.78740160,0.00000000
-2.30896262,0.39370080,-0.07874016
-2.30855462,0.78740160,0.00000000
-2.30814662,0.78740160,-0.07874016
-2.30773862,0.00000000,-0.07874016
-2.30733062,0.39370080,-0.07874016
-2.30692262,0.39370080,0.00000000
-2.30651462,0.78740160,-0.07874016
-2.30610662,0.39370080,0.00000000
-2.30569862,0.39370080,0.00000000
-2.30529062,0.39370080,0.00000000
-2.30488262,0.39370080,0.00000000
-2.30447462,0.39370080,0.00000000
-2.30406662,0.39370080,0.00000000
-2.30365862,0.39370080,0.00000000
-2.30325062,0.39370080,0.00000000
-2.30284262,0.39370080,0.00000000
-2.30243462,0.39370080,-0.07874016
-2.30202662,0.39370080,0.00000000
-2.30161862,0.39370080,0.00000000
-2.30121062,0.39370080,-0.07874016
-2.30080262,0.39370080,-0.07874016
-2.30039462,0.00000000,0.00000000
-2.29998662,0.39370080,0.00000000
-2.29957862,0.39370080,0.00000000
-2.29917062,0.39370080,-0.07874016
-2.29876262,0.78740160,0.00000000
-2.29835462,0.39370080,0.00000000
-2.29794662,0.39370080,0.00000000
