Time,Channel A,Channel B
(ms),(mV),(V)

-2.36454128,0.39370080,0.00000000
-2.36413328,0.78740160,0.00000000
-2.36372528,0.78740160,-0.07874016
-2.36331728,0.78740160,0.00000000
-2.36290928,0.78740160,-0.07874016
-2.36250128,0.39370080,-0.07874016
-2.36209328,0.39370080,-0.07874016
-2.36168528,0.39370080,-0.07874016
-2.36127728,0.78740160,-0.07874016
-2.36086928,0.39370080,-0.07874016
-2.36046128,0.39370080,-0.07874016
-2.36005328,0.39370080,0.00000000
-2.35964528,0.39370080,0.00000000
-2.35923728,0.39370080,-0.07874016
-2.35882928,0.78740160,-0.07874016
-2.35842128,0.39370080,0.00000000
-2.35801328,0.39370080,-0.07874016
-2.35760528,0.78740160,-0.07874016
-2.35719728,0.39370080,0.00000000
-2.35678928,0.39370080,0.00000000
-2.35638128,0.39370080,-0.07874016
-2.35597328,0.39370080,0.00000000
-2.35556528,0.39370080,0.00000000
-2.35515728,0.78740160,0.00000000
-2.35474928,0.39370080,-0.07874016
-2.35434128,0.78740160,0.00000000
-2.35393328,0.39370080,0.00000000
-2.35352528,0.39370080,-0.07874016
-2.35311728,0.39370080,-0.07874016
-2.35270928,0.39370080,0.00000000
-2.35230128,0.39370080,-0.07874016
-2.35189328,0.78740160,0.00000000
-2.35148528,0.39370080,0.00000000
-2.35107728,0.39370080,-0.07874016
-2.35066928,0.39370080,-0.07874016
-2.35026128,0.39370080,0.00000000
-2.34985328,0.39370080,0.00000000
-2.34944528,0.39370080,0.00000000
-2.34903728,0.78740160,0.00000000
-2.34862928,0.39370080,-0.07874016
-2.34822128,0.78740160,0.00000000
-2.34781328,0.39370080,0.00000000
-2.34740528,0.39370080,0.00000000
-2.34699728,0.39370080,0.00000000
-2.34658928,0.39370080,0.00000000
-2.34618128,0.78740160,0.00000000
-2.34577328,0.78740160,0.00000000
-2.34536528,0.00000000,0.00000000
-2.34495728,0.39370080,0.00000000
-2.34454928,0.39370080,0.00000000
-2.34414128,0.39370080,0.00000000
-2.34373328,0.39370080,0.00000000
-2.34332528,0.78740160,0.00000000
-2.34291728,0.39370080,0.00000000
-2.34250928,0.78740160,0.00000000
-2.34210128,0.78740160,0.00000000
-2.34169328,0.39370080,0.00000000
-2.34128528,0.00000000,-0.07874016
-2.34087728,0.78740160,0.00000000
-2.34046928,0.78740160,0.00000000
-2.34006128,0.78740160,0.00000000
-2.33965328,0.78740160,0.00000000
-2.33924528,0.78740160,0.00000000
-2.33883728,0.39370080,0.00000000
-2.33842928,0.78740160,0.00000000
-2.33802128,0.39370080,0.00000000
-2.33761328,0.78740160,-0.07874016
-2.33720528,0.78740160,0.00000000
-2.33679728,0.39370080,0.00000000
-2.33638928,0.39370080,-0.07874016
-2.33598128,0.39370080,0.00000000
-2.33557328,0.39370080,0.00000000
-2.33516528,0.78740160,-0.07874016
-2.33475728,0.78740160,0.00000000
-2.33434928,0.78740160,0.00000000
-2.33394128,0.78740160,0.00000000
-2.33353328,0.39370080,0.00000000
-2.33312528,0.39370080,0.00000000
-2.33271728,0.39370080,-0.07874016
-2.33230928,0.39370080,0.00000000
-2.33190128,0.39370080,0.00000000
-2.33149328,0.39370080,0.00000000
-2.33108528,0.78740160,0.00000000
-2.33067728,0.39370080,0.00000000
-2.33026928,0.39370080,0.00000000
-2.32986128,0.78740160,0.00000000
-2.32945328,0.39370080,0.00000000
-2.32904528,0.78740160,-0.07874016
-2.32863728,0.78740160,0.00000000
-2.32822928,0.78740160,-0.07874016
-2.32782128,0.39370080,0.00000000
-2.32741328,0.39370080,0.00000000
-2.32700528,0.39370080,0.00000000
-2.32659728,0.39370080,0.00000000
-2.32618928,0.39370080,0.00000000
-2.32578128,0.39370080,0.00000000
-2.32537328,0.78740160,0.00000000
-2.32496528,0.39370080,0.00000000
-2.32455728,0.39370080,-0.07874016
-2.32414928,0.39370080,-0.07874016
-2.32374128,0.39370080,0.00000000
-2.32333328,0.39370080,0.00000000
-2.32292528,0.39370080,-0.07874016
-2.32251728,0.39370080,-0.07874016
-2.32210928,0.39370080,0.00000000
-2.32170128,0.39370080,0.00000000
-2.32129328,0.39370080,0.00000000
-2.32088528,0.39370080,0.00000000
-2.32047728,0.78740160,0.00000000
-2.32006928,0.39370080,0.00000000
-2.31966128,0.39370080,0.00000000
-2.31925328,0.39370080,0.00000000
-2.31884528,0.39370080,0.00000000
-2.31843728,0.00000000,0.00000000
-2.31802928,0.78740160,0.00000000
-2.31762128,0.39370080,0.00000000
-2.31721328,0.39370080,0.00000000
-2.31680528,0.78740160,0.00000000
-2.31639728,0.39370080,-0.07874016
-2.31598928,0.39370080,0.00000000
-2.31558128,0.78740160,-0.07874016
-2.31517328,0.39370080,0.00000000
-2.31476528,0.39370080,0.00000000
-2.31435728,0.39370080,0.00000000
-2.31394928,0.39370080,0.00000000
-2.31354128,0.39370080,0.00000000
-2.31313328,0.78740160,-0.07874016
-2.31272528,0.39370080,0.00000000
-2.31231728,1.18110200,-0.07874016
-2.31190928,0.78740160,-0.07874016
-2.31150128,0.78740160,0.00000000
-2.31109328,0.78740160,0.00000000
-2.31068528,0.39370080,-0.07874016
-2.31027728,0.39370080,0.00000000
-2.30986928,0.39370080,0.00000000
-2.30946128,0.78740160,-0.07874016
-2.30905328,0.39370080,0.00000000
-2.30864528,0.39370080,0.00000000
-2.30823728,0.39370080,0.00000000
-2.30782928,0.78740160,0.00000000
-2.30742128,0.00000000,0.00000000
-2.30701328,0.39370080,0.00000000
-2.30660528,0.39370080,-0.07874016
-2.30619728,0.78740160,0.00000000
-2.30578928,0.39370080,0.00000000
-2.30538128,0.39370080,0.00000000
-2.30497328,0.78740160,0.00000000
-2.30456528,0.78740160,0.00000000
-2.30415728,0.39370080,0.00000000
-2.30374928,0.39370080,0.00000000
-2.30334128,0.78740160,0.00000000
-2.30293328,0.39370080,0.00000000
-2.30252529,0.39370080,0.00000000
-2.30211729,0.39370080,0.00000000
-2.30170929,0.78740160,0.00000000
-2.30130129,0.78740160,0.00000000
-2.30089329,0.39370080,0.00000000
-2.30048529,0.39370080,0.00000000
-2.30007729,0.78740160,0.00000000
-2.29966929,0.39370080,0.00000000
-2.29926129,0.39370080,0.00000000
-2.29885329,0.39370080,-0.07874016
-2.29844529,0.39370080,0.00000000
