Time,Channel A,Channel B
(ms),(mV),(V)

-2.36476795,0.39370080,0.00000000
-2.36435995,0.39370080,-0.07874016
-2.36395195,0.39370080,0.00000000
-2.36354395,0.39370080,-0.07874016
-2.36313595,0.39370080,0.00000000
-2.36272795,0.78740160,-0.07874016
-2.36231995,0.00000000,0.00000000
-2.36191195,0.78740160,-0.07874016
-2.36150395,0.78740160,0.00000000
-2.36109595,0.39370080,0.00000000
-2.36068795,0.39370080,-0.07874016
-2.36027995,0.39370080,-0.07874016
-2.35987195,0.39370080,0.00000000
-2.35946395,0.78740160,0.00000000
-2.35905595,0.39370080,0.00000000
-2.35864795,0.39370080,0.00000000
-2.35823995,0.78740160,0.00000000
-2.35783195,0.78740160,-0.07874016
-2.35742395,0.39370080,0.00000000
-2.35701595,0.39370080,-0.07874016
-2.35660795,0.00000000,0.00000000
-2.35619995,0.78740160,-0.07874016
-2.35579195,0.39370080,0.00000000
-2.35538395,0.78740160,0.00000000
-2.35497595,0.78740160,0.00000000
-2.35456795,0.39370080,0.00000000
-2.35415995,0.39370080,0.00000000
-2.35375195,0.78740160,0.00000000
-2.35334395,0.00000000,0.00000000
-2.35293595,0.39370080,0.00000000
-2.35252795,0.00000000,0.00000000
-2.35211995,0.39370080,-0.07874016
-2.35171195,0.39370080,0.00000000
-2.35130395,0.78740160,0.00000000
-2.35089595,0.39370080,-0.07874016
-2.35048795,0.78740160,-0.07874016
-2.35007995,0.00000000,0.00000000
-2.34967195,0.39370080,0.00000000
-2.34926395,0.39370080,0.00000000
-2.34885595,0.39370080,0.00000000
-2.34844795,0.39370080,0.00000000
-2.34803995,0.39370080,0.00000000
-2.34763195,0.00000000,0.00000000
-2.34722395,0.39370080,0.00000000
-2.34681595,0.39370080,0.00000000
-2.34640795,0.78740160,-0.07874016
-2.34599995,0.00000000,-0.07874016
-2.34559195,0.39370080,0.00000000
-2.34518395,0.00000000,0.00000000
-2.34477595,0.78740160,0.00000000
-2.34436795,0.39370080,0.00000000
-2.34395995,0.39370080,0.00000000
-2.34355195,0.00000000,0.00000000
-2.34314395,0.39370080,0.00000000
-2.34273595,0.39370080,-0.07874016
-2.34232795,0.39370080,0.00000000
-2.34191995,0.39370080,0.00000000
-2.34151195,0.39370080,0.00000000
-2.34110395,0.00000000,0.00000000
-2.34069595,0.39370080,-0.07874016
-2.34028795,0.39370080,0.00000000
-2.33987995,0.39370080,-0.07874016
-2.33947195,0.39370080,0.00000000
-2.33906395,0.39370080,-0.07874016
-2.33865595,0.39370080,0.00000000
-2.33824795,0.39370080,-0.07874016
-2.33783995,0.39370080,0.00000000
-2.33743195,0.78740160,0.00000000
-2.33702395,0.39370080,0.00000000
-2.33661595,0.78740160,0.00000000
-2.33620795,0.78740160,0.00000000
-2.33579995,0.39370080,-0.07874016
-2.33539195,0.39370080,-0.07874016
-2.33498395,0.39370080,-0.07874016
-2.33457595,0.39370080,0.00000000
-2.33416795,0.39370080,-0.07874016
-2.33375995,0.39370080,0.00000000
-2.33335195,0.78740160,-0.07874016
-2.33294395,0.39370080,0.00000000
-2.33253595,0.39370080,-0.07874016
-2.33212795,0.39370080,-0.07874016
-2.33171995,0.39370080,0.00000000
-2.33131195,0.78740160,0.00000000
-2.33090395,0.78740160,0.00000000
-2.33049595,0.78740160,0.00000000
-2.33008795,0.39370080,-0.07874016
-2.32967995,0.39370080,-0.07874016
-2.32927195,0.39370080,-0.07874016
-2.32886395,0.39370080,0.00000000
-2.32845595,0.78740160,-0.07874016
-2.32804795,0.39370080,0.00000000
-2.32763995,0.78740160,0.00000000
-2.32723195,0.39370080,0.00000000
-2.32682395,0.39370080,-0.07874016
-2.32641595,0.39370080,0.00000000
-2.32600795,0.39370080,0.00000000
-2.32559995,0.39370080,0.00000000
-2.32519195,0.39370080,-0.07874016
-2.32478395,0.00000000,-0.07874016
-2.32437595,0.39370080,-0.07874016
-2.32396795,0.39370080,0.00000000
-2.32355995,0.39370080,0.00000000
-2.32315195,0.39370080,0.00000000
-2.32274395,0.39370080,-0.07874016
-2.32233595,0.39370080,-0.07874016
-2.32192795,0.39370080,-0.07874016
-2.32151995,0.39370080,0.00000000
-2.32111195,0.00000000,-0.07874016
-2.32070395,0.39370080,0.00000000
-2.32029595,0.39370080,-0.07874016
-2.31988795,0.39370080,0.00000000
-2.31947995,0.78740160,0.00000000
-2.31907195,0.00000000,0.00000000
-2.31866395,0.39370080,0.00000000
-2.31825595,0.00000000,-0.07874016
-2.31784795,0.78740160,0.00000000
-2.31743995,0.39370080,-0.07874016
-2.31703195,0.39370080,0.00000000
-2.31662395,0.39370080,0.00000000
-2.31621595,0.39370080,-0.07874016
-2.31580795,0.39370080,0.00000000
-2.31539995,0.78740160,-0.07874016
-2.31499195,0.39370080,0.00000000
-2.31458395,0.39370080,-0.07874016
-2.31417595,0.78740160,0.00000000
-2.31376795,0.78740160,-0.07874016
-2.31335995,0.39370080,-0.07874016
-2.31295195,0.78740160,-0.07874016
-2.31254395,0.00000000,0.00000000
-2.31213595,0.39370080,-0.07874016
-2.31172795,0.78740160,-0.07874016
-2.31131995,0.39370080,-0.07874016
-2.31091195,0.39370080,0.00000000
-2.31050395,0.39370080,-0.07874016
-2.31009595,0.39370080,0.00000000
-2.30968795,0.39370080,0.00000000
-2.30927995,0.39370080,0.00000000
-2.30887195,0.39370080,0.00000000
-2.30846395,0.00000000,0.00000000
-2.30805595,0.39370080,0.00000000
-2.30764795,0.39370080,0.00000000
-2.30723995,0.78740160,-0.07874016
-2.30683195,0.39370080,0.00000000
-2.30642395,0.39370080,0.00000000
-2.30601595,0.78740160,0.00000000
-2.30560795,0.78740160,-0.07874016
-2.30519995,0.78740160,0.00000000
-2.30479195,0.78740160,-0.07874016
-2.30438395,0.78740160,0.00000000
-2.30397595,0.00000000,0.00000000
-2.30356795,0.78740160,-0.07874016
-2.30315995,0.39370080,-0.07874016
-2.30275195,0.39370080,0.00000000
-2.30234395,0.39370080,-0.07874016
-2.30193595,0.39370080,-0.07874016
-2.30152795,0.39370080,-0.07874016
-2.30111995,0.39370080,-0.07874016
-2.30071195,0.39370080,0.00000000
-2.30030395,0.39370080,0.00000000
-2.29989595,0.39370080,0.00000000
-2.29948795,0.39370080,0.00000000
-2.29907995,0.39370080,0.00000000
