Time,Channel A,Channel B
(ms),(mV),(V)

-2.36446195,0.39370080,0.00000000
-2.36405395,0.39370080,0.00000000
-2.36364595,0.39370080,0.00000000
-2.36323795,0.39370080,0.00000000
-2.36282995,0.39370080,0.00000000
-2.36242195,0.00000000,0.00000000
-2.36201395,0.39370080,0.00000000
-2.36160595,0.39370080,0.00000000
-2.36119795,0.00000000,0.00000000
-2.36078995,0.39370080,0.00000000
-2.36038195,0.00000000,0.00000000
-2.35997395,0.39370080,0.00000000
-2.35956595,0.39370080,0.00000000
-2.35915795,0.39370080,0.00000000
-2.35874995,0.39370080,0.00000000
-2.35834195,0.39370080,0.00000000
-2.35793395,0.39370080,0.00000000
-2.35752595,0.39370080,0.00000000
-2.35711795,0.39370080,0.00000000
-2.35670995,0.39370080,-0.07874016
-2.35630195,0.39370080,0.00000000
-2.35589395,0.39370080,0.00000000
-2.35548595,0.39370080,0.00000000
-2.35507795,0.00000000,0.00000000
-2.35466995,0.78740160,0.00000000
-2.35426195,0.78740160,0.00000000
-2.35385395,0.39370080,-0.07874016
-2.35344595,0.39370080,0.00000000
-2.35303795,0.39370080,-0.07874016
-2.35262995,0.39370080,0.00000000
-2.35222195,0.39370080,0.00000000
-2.35181395,0.39370080,0.00000000
-2.35140595,0.00000000,0.00000000
-2.35099795,0.78740160,0.00000000
-2.35058995,0.39370080,0.00000000
-2.35018195,0.39370080,-0.07874016
-2.34977395,0.39370080,0.00000000
-2.34936595,0.00000000,0.00000000
-2.34895795,0.78740160,0.00000000
-2.34854995,0.78740160,0.00000000
-2.34814195,0.39370080,0.00000000
-2.34773395,0.78740160,0.00000000
-2.34732595,0.78740160,0.00000000
-2.34691795,0.39370080,-0.07874016
-2.34650995,0.39370080,-0.07874016
-2.34610195,0.39370080,0.00000000
-2.34569395,0.39370080,-0.07874016
-2.34528595,0.39370080,0.00000000
-2.34487795,0.39370080,0.00000000
-2.34446995,0.39370080,0.00000000
-2.34406195,0.39370080,0.00000000
-2.34365395,0.39370080,0.00000000
-2.34324595,0.39370080,0.00000000
-2.34283795,0.39370080,-0.07874016
-2.34242995,0.39370080,0.00000000
-2.34202195,0.39370080,0.00000000
-2.34161395,0.39370080,0.00000000
-2.34120595,0.78740160,0.00000000
-2.34079795,0.39370080,0.00000000
-2.34038995,0.39370080,-0.07874016
-2.33998195,0.39370080,0.00000000
-2.33957395,0.00000000,0.00000000
-2.33916595,0.39370080,0.00000000
-2.33875795,0.39370080,0.00000000
-2.33834995,0.39370080,0.00000000
-2.33794195,0.39370080,0.00000000
-2.33753395,0.00000000,-0.07874016
-2.33712595,0.39370080,0.00000000
-2.33671795,0.00000000,0.00000000
-2.33630995,0.39370080,0.00000000
-2.33590195,0.39370080,-0.07874016
-2.33549395,0.39370080,0.00000000
-2.33508595,0.78740160,-0.07874016
-2.33467795,0.39370080,0.00000000
-2.33426995,0.39370080,0.00000000
-2.33386195,0.39370080,0.00000000
-2.33345395,0.39370080,0.00000000
-2.33304595,0.39370080,0.00000000
-2.33263795,0.39370080,0.00000000
-2.33222995,0.39370080,0.00000000
-2.33182195,0.39370080,0.00000000
-2.33141395,0.39370080,0.00000000
-2.33100595,0.00000000,0.00000000
-2.33059795,0.39370080,0.00000000
-2.33018995,0.39370080,0.00000000
-2.32978195,0.39370080,0.00000000
-2.32937395,0.00000000,0.00000000
-2.32896595,0.39370080,-0.07874016
-2.32855795,0.78740160,0.00000000
-2.32814995,0.39370080,0.00000000
-2.32774195,0.39370080,0.00000000
-2.32733395,0.39370080,0.00000000
-2.32692595,0.39370080,-0.07874016
-2.32651795,0.39370080,-0.07874016
-2.32610995,0.39370080,-0.07874016
-2.32570195,0.39370080,0.00000000
-2.32529395,0.39370080,-0.07874016
-2.32488595,0.39370080,0.00000000
-2.32447795,0.39370080,0.00000000
-2.32406995,0.39370080,0.00000000
-2.32366195,0.39370080,0.00000000
-2.32325395,0.39370080,0.00000000
-2.32284595,0.39370080,-0.07874016
-2.32243795,0.39370080,-0.07874016
-2.32202995,0.78740160,0.00000000
-2.32162195,0.39370080,0.00000000
-2.32121395,0.39370080,0.00000000
-2.32080595,0.78740160,0.00000000
-2.32039795,0.78740160,0.00000000
-2.31998995,0.39370080,-0.07874016
-2.31958195,0.39370080,0.00000000
-2.31917395,0.39370080,0.00000000
-2.31876595,0.39370080,0.00000000
-2.31835795,0.39370080,0.00000000
-2.31794995,0.78740160,0.00000000
-2.31754195,0.39370080,0.00000000
-2.31713395,0.78740160,0.00000000
-2.31672595,0.00000000,0.00000000
-2.31631795,0.39370080,-0.07874016
-2.31590995,0.39370080,0.00000000
-2.31550195,0.39370080,-0.07874016
-2.31509395,0.78740160,0.00000000
-2.31468595,0.00000000,0.00000000
-2.31427795,0.39370080,0.00000000
-2.31386995,0.39370080,0.00000000
-2.31346195,0.39370080,-0.07874016
-2.31305395,0.78740160,-0.07874016
-2.31264595,0.39370080,0.00000000
-2.31223795,0.39370080,0.00000000
-2.31182995,0.78740160,0.00000000
-2.31142195,0.39370080,0.00000000
-2.31101395,0.78740160,-0.07874016
-2.31060595,0.39370080,0.00000000
-2.31019795,0.39370080,0.00000000
-2.30978995,0.39370080,0.00000000
-2.30938195,0.39370080,0.00000000
-2.30897395,0.39370080,0.00000000
-2.30856595,0.78740160,0.00000000
-2.30815795,0.39370080,0.00000000
-2.30774995,0.39370080,0.00000000
-2.30734195,0.39370080,0.00000000
-2.30693395,0.39370080,0.00000000
-2.30652595,0.39370080,0.00000000
-2.30611795,0.39370080,0.00000000
-2.30570995,0.39370080,0.00000000
-2.30530195,0.39370080,0.00000000
-2.30489395,0.78740160,-0.07874016
-2.30448595,0.39370080,0.00000000
-2.30407795,0.39370080,0.00000000
-2.30366995,0.39370080,0.00000000
-2.30326195,0.78740160,0.00000000
-2.30285395,0.39370080,-0.07874016
-2.30244595,0.39370080,0.00000000
-2.30203795,0.39370080,0.00000000
-2.30162995,0.78740160,0.00000000
-2.30122195,0.00000000,0.00000000
-2.30081395,0.39370080,0.00000000
-2.30040595,0.39370080,0.00000000
-2.29999795,0.39370080,-0.07874016
-2.29958995,0.39370080,-0.07874016
-2.29918195,0.39370080,0.00000000
-2.29877395,0.39370080,0.00000000
-2.29836595,0.39370080,0.00000000
-2.29795795,0.78740160,0.00000000
