Time,Channel A,Channel B
(ms),(mV),(V)

-2.36440075,0.39370080,-0.07874016
-2.36399275,0.39370080,-0.07874016
-2.36358475,0.78740160,0.00000000
-2.36317675,0.39370080,0.00000000
-2.36276875,0.39370080,-0.07874016
-2.36236075,0.39370080,0.00000000
-2.36195275,0.39370080,0.00000000
-2.36154475,0.39370080,-0.07874016
-2.36113675,0.78740160,0.00000000
-2.36072875,0.78740160,-0.07874016
-2.36032075,0.39370080,-0.07874016
-2.35991275,0.39370080,0.00000000
-2.35950475,0.39370080,0.00000000
-2.35909675,0.78740160,0.00000000
-2.35868875,0.39370080,0.00000000
-2.35828075,0.39370080,0.00000000
-2.35787275,0.39370080,0.00000000
-2.35746475,0.39370080,0.00000000
-2.35705675,0.39370080,0.00000000
-2.35664875,0.39370080,-0.07874016
-2.35624075,0.00000000,0.00000000
-2.35583275,0.39370080,-0.07874016
-2.35542475,0.78740160,-0.07874016
-2.35501675,0.00000000,0.00000000
-2.35460875,0.39370080,-0.07874016
-2.35420075,0.00000000,-0.07874016
-2.35379275,0.39370080,0.00000000
-2.35338475,0.39370080,0.00000000
-2.35297675,0.39370080,0.00000000
-2.35256875,0.39370080,0.00000000
-2.35216075,0.00000000,0.00000000
-2.35175275,0.39370080,0.00000000
-2.35134475,0.39370080,0.00000000
-2.35093675,0.39370080,-0.07874016
-2.35052875,0.00000000,0.00000000
-2.35012075,0.39370080,0.00000000
-2.34971275,0.00000000,-0.07874016
-2.34930475,0.39370080,0.00000000
-2.34889675,0.39370080,-0.07874016
-2.34848875,0.39370080,0.00000000
-2.34808075,0.78740160,-0.07874016
-2.34767275,0.39370080,0.00000000
-2.34726475,0.39370080,0.00000000
-2.34685675,0.39370080,-0.07874016
-2.34644875,0.39370080,-0.07874016
-2.34604075,0.39370080,0.00000000
-2.34563275,0.39370080,0.00000000
-2.34522475,0.39370080,-0.07874016
-2.34481675,0.39370080,0.00000000
-2.34440875,0.78740160,0.00000000
-2.34400075,0.39370080,0.00000000
-2.34359275,0.39370080,0.00000000
-2.34318475,0.39370080,-0.07874016
-2.34277675,0.39370080,-0.07874016
-2.34236875,0.39370080,0.00000000
-2.34196075,0.78740160,-0.07874016
-2.34155275,0.39370080,0.00000000
-2.34114475,0.78740160,-0.07874016
-2.34073675,0.78740160,0.00000000
-2.34032875,0.39370080,0.00000000
-2.33992075,0.39370080,0.00000000
-2.33951275,0.78740160,-0.07874016
-2.33910475,0.39370080,-0.07874016
-2.33869675,0.78740160,-0.07874016
-2.33828875,0.39370080,0.00000000
-2.33788075,0.78740160,-0.07874016
-2.33747275,0.39370080,0.00000000
-2.33706475,0.39370080,-0.07874016
-2.33665675,0.39370080,0.00000000
-2.33624875,0.39370080,0.00000000
-2.33584075,0.39370080,0.00000000
-2.33543275,0.78740160,-0.07874016
-2.33502475,0.39370080,0.00000000
-2.33461675,0.78740160,0.00000000
-2.33420875,0.39370080,0.00000000
-2.33380075,0.39370080,-0.07874016
-2.33339275,0.00000000,0.00000000
-2.33298475,0.39370080,-0.07874016
-2.33257675,0.39370080,0.00000000
-2.33216875,0.39370080,-0.07874016
-2.33176075,0.78740160,-0.07874016
-2.33135275,0.39370080,0.00000000
-2.33094475,0.39370080,0.00000000
-2.33053675,0.39370080,0.00000000
-2.33012875,0.39370080,-0.07874016
-2.32972075,0.39370080,0.00000000
-2.32931275,0.78740160,0.00000000
-2.32890475,0.78740160,-0.07874016
-2.32849675,0.39370080,0.00000000
-2.32808875,0.00000000,0.00000000
-2.32768075,0.39370080,0.00000000
-2.32727275,0.39370080,-0.07874016
-2.32686475,0.39370080,0.00000000
-2.32645675,0.78740160,0.00000000
-2.32604875,0.39370080,0.00000000
-2.32564075,0.39370080,-0.07874016
-2.32523275,0.39370080,0.00000000
-2.32482475,0.00000000,-0.07874016
-2.32441675,0.39370080,0.00000000
-2.32400875,0.39370080,0.00000000
-2.32360075,0.78740160,0.00000000
-2.32319275,0.39370080,0.00000000
-2.32278475,0.78740160,0.00000000
-2.32237675,0.39370080,0.00000000
-2.32196875,0.39370080,0.00000000
-2.32156075,0.39370080,0.00000000
-2.32115275,0.39370080,0.00000000
-2.32074475,0.78740160,-0.07874016
-2.32033675,0.39370080,0.00000000
-2.31992875,0.39370080,-0.07874016
-2.31952075,0.39370080,0.00000000
-2.31911275,0.39370080,0.00000000
-2.31870475,0.78740160,0.00000000
-2.31829675,0.39370080,-0.07874016
-2.31788875,0.39370080,0.00000000
-2.31748075,0.78740160,0.00000000
-2.31707275,0.39370080,0.00000000
-2.31666475,0.39370080,0.00000000
-2.31625675,0.39370080,0.00000000
-2.31584875,0.78740160,-0.07874016
-2.31544075,0.78740160,0.00000000
-2.31503275,0.39370080,0.00000000
-2.31462475,0.78740160,0.00000000
-2.31421675,0.78740160,0.00000000
-2.31380875,0.39370080,0.00000000
-2.31340075,0.78740160,0.00000000
-2.31299275,0.39370080,0.00000000
-2.31258475,0.78740160,0.00000000
-2.31217675,0.78740160,0.00000000
-2.31176875,0.39370080,0.00000000
-2.31136075,0.39370080,0.00000000
-2.31095275,0.78740160,-0.07874016
-2.31054475,0.39370080,0.00000000
-2.31013675,0.78740160,-0.07874016
-2.30972875,0.39370080,0.00000000
-2.30932075,0.39370080,0.00000000
-2.30891275,0.39370080,0.00000000
-2.30850475,0.78740160,-0.07874016
-2.30809675,0.39370080,0.00000000
-2.30768875,0.78740160,0.00000000
-2.30728075,0.00000000,-0.07874016
-2.30687275,0.39370080,0.00000000
-2.30646475,0.39370080,-0.07874016
-2.30605675,0.78740160,0.00000000
-2.30564875,0.39370080,0.00000000
-2.30524075,0.39370080,0.00000000
-2.30483275,0.00000000,-0.07874016
-2.30442475,0.00000000,0.00000000
-2.30401675,0.39370080,0.00000000
-2.30360875,0.39370080,-0.07874016
-2.30320075,0.39370080,0.00000000
-2.30279275,0.39370080,0.00000000
-2.30238475,0.00000000,-0.07874016
-2.30197675,0.39370080,-0.07874016
-2.30156875,0.39370080,0.00000000
-2.30116075,0.39370080,0.00000000
-2.30075275,0.39370080,0.00000000
-2.30034475,0.39370080,-0.07874016
-2.29993675,0.39370080,0.00000000
-2.29952875,0.00000000,0.00000000
-2.29912075,0.39370080,-0.07874016
-2.29871275,0.78740160,0.00000000
-2.29830475,0.39370080,0.00000000
