Time,Channel A,Channel B
(ms),(mV),(V)

-2.36472715,0.00000000,0.00000000
-2.36431915,0.00000000,0.00000000
-2.36391115,0.39370080,0.00000000
-2.36350315,0.39370080,0.00000000
-2.36309515,0.00000000,0.00000000
-2.36268715,0.39370080,0.00000000
-2.36227915,0.00000000,0.00000000
-2.36187115,0.00000000,0.00000000
-2.36146315,0.00000000,0.00000000
-2.36105515,0.00000000,0.00000000
-2.36064715,0.39370080,-0.07874016
-2.36023915,0.00000000,0.00000000
-2.35983115,0.39370080,0.00000000
-2.35942315,0.00000000,0.00000000
-2.35901515,0.39370080,0.00000000
-2.35860715,0.39370080,0.00000000
-2.35819915,0.39370080,0.00000000
-2.35779115,0.39370080,-0.07874016
-2.35738315,0.00000000,0.00000000
-2.35697515,0.00000000,0.00000000
-2.35656715,0.39370080,0.00000000
-2.35615915,0.00000000,0.00000000
-2.35575115,0.39370080,0.00000000
-2.35534315,0.00000000,0.00000000
-2.35493515,0.39370080,-0.07874016
-2.35452715,0.39370080,0.00000000
-2.35411915,0.00000000,0.00000000
-2.35371115,0.39370080,0.00000000
-2.35330315,0.39370080,0.00000000
-2.35289515,0.39370080,0.00000000
-2.35248715,0.78740160,0.00000000
-2.35207915,0.00000000,0.00000000
-2.35167115,0.39370080,0.00000000
-2.35126315,0.39370080,0.00000000
-2.35085515,0.39370080,0.00000000
-2.35044715,0.39370080,0.00000000
-2.35003915,0.39370080,0.00000000
-2.34963115,0.78740160,0.00000000
-2.34922315,0.78740160,0.00000000
-2.34881515,0.39370080,0.00000000
-2.34840715,0.39370080,0.00000000
-2.34799915,0.39370080,-0.07874016
-2.34759115,0.39370080,0.00000000
-2.34718315,0.39370080,0.00000000
-2.34677515,0.78740160,0.00000000
-2.34636715,0.78740160,-0.07874016
-2.34595915,0.39370080,0.00000000
-2.34555115,0.39370080,0.00000000
-2.34514315,0.39370080,0.00000000
-2.34473515,0.78740160,0.00000000
-2.34432715,0.39370080,0.00000000
-2.34391915,0.39370080,0.00000000
-2.34351115,0.39370080,0.00000000
-2.34310315,0.39370080,0.00000000
-2.34269515,0.78740160,-0.07874016
-2.34228715,0.39370080,0.00000000
-2.34187915,0.39370080,0.00000000
-2.34147115,0.39370080,-0.07874016
-2.34106315,0.39370080,0.00000000
-2.34065515,0.78740160,0.00000000
-2.34024715,0.00000000,0.00000000
-2.33983915,0.39370080,-0.07874016
-2.33943115,0.39370080,0.00000000
-2.33902315,0.39370080,-0.07874016
-2.33861515,0.00000000,-0.07874016
-2.33820715,0.39370080,0.00000000
-2.33779915,0.00000000,0.00000000
-2.33739115,0.39370080,0.00000000
-2.33698315,0.39370080,0.00000000
-2.33657515,0.39370080,0.00000000
-2.33616715,0.39370080,0.00000000
-2.33575915,0.39370080,0.00000000
-2.33535115,0.00000000,0.00000000
-2.33494315,0.00000000,0.00000000
-2.33453515,0.00000000,0.00000000
-2.33412715,0.00000000,0.00000000
-2.33371915,0.39370080,0.00000000
-2.33331115,0.39370080,0.00000000
-2.33290315,0.39370080,0.00000000
-2.33249515,0.00000000,0.00000000
-2.33208715,0.00000000,0.00000000
-2.33167915,0.39370080,0.00000000
-2.33127115,0.00000000,0.00000000
-2.33086315,0.78740160,0.00000000
-2.33045515,0.00000000,0.00000000
-2.33004715,0.00000000,0.00000000
-2.32963915,0.39370080,0.00000000
-2.32923115,0.39370080,0.00000000
-2.32882315,0.39370080,-0.07874016
-2.32841515,0.00000000,0.00000000
-2.32800715,0.00000000,-0.07874016
-2.32759915,0.78740160,0.00000000
-2.32719115,0.39370080,-0.07874016
-2.32678315,0.39370080,0.00000000
-2.32637515,0.39370080,-0.07874016
-2.32596715,0.39370080,0.00000000
-2.32555915,0.78740160,0.00000000
-2.32515115,0.39370080,0.00000000
-2.32474315,0.39370080,-0.07874016
-2.32433515,0.39370080,-0.07874016
-2.32392715,0.39370080,0.00000000
-2.32351915,0.78740160,0.00000000
-2.32311115,0.78740160,0.00000000
-2.32270315,0.78740160,0.00000000
-2.32229515,0.39370080,0.00000000
-2.32188715,0.39370080,-0.07874016
-2.32147915,0.39370080,0.00000000
-2.32107115,0.39370080,0.00000000
-2.32066315,0.39370080,0.00000000
-2.32025515,0.78740160,0.00000000
-2.31984715,0.39370080,-0.07874016
-2.31943915,0.39370080,-0.07874016
-2.31903115,0.00000000,0.00000000
-2.31862315,0.39370080,0.00000000
-2.31821515,0.78740160,0.00000000
-2.31780715,0.00000000,-0.07874016
-2.31739915,0.39370080,0.00000000
-2.31699115,0.00000000,-0.07874016
-2.31658315,0.39370080,0.00000000
-2.31617515,0.39370080,-0.07874016
-2.31576715,0.39370080,0.00000000
-2.31535915,0.39370080,0.00000000
-2.31495115,0.39370080,-0.07874016
-2.31454315,0.39370080,0.00000000
-2.31413515,0.39370080,0.00000000
-2.31372715,0.39370080,0.00000000
-2.31331915,0.00000000,0.00000000
-2.31291115,0.39370080,0.00000000
-2.31250315,0.00000000,0.00000000
-2.31209515,0.39370080,0.00000000
-2.31168715,0.39370080,0.00000000
-2.31127915,0.00000000,0.00000000
-2.31087115,0.00000000,0.00000000
-2.31046315,0.00000000,0.00000000
-2.31005515,0.00000000,0.00000000
-2.30964715,0.39370080,0.00000000
-2.30923915,0.00000000,-0.07874016
-2.30883115,0.39370080,0.00000000
-2.30842315,0.00000000,0.00000000
-2.30801515,0.39370080,0.00000000
-2.30760715,0.39370080,0.00000000
-2.30719915,0.00000000,0.00000000
-2.30679115,0.39370080,0.00000000
-2.30638315,0.39370080,-0.07874016
-2.30597515,0.78740160,0.00000000
-2.30556715,0.39370080,0.00000000
-2.30515915,0.39370080,0.00000000
-2.30475115,0.39370080,0.00000000
-2.30434315,0.00000000,0.00000000
-2.30393515,0.00000000,0.00000000
-2.30352715,0.39370080,0.00000000
-2.30311915,0.39370080,-0.07874016
-2.30271115,0.78740160,-0.07874016
-2.30230315,0.39370080,-0.07874016
-2.30189515,0.39370080,-0.07874016
-2.30148715,0.39370080,0.00000000
-2.30107915,0.39370080,0.00000000
-2.30067115,0.00000000,0.00000000
-2.30026315,0.39370080,0.00000000
-2.29985515,0.39370080,0.00000000
-2.29944715,1.18110200,-0.07874016
-2.29903915,0.00000000,0.00000000
-2.29863115,0.78740160,0.00000000
-2.29822315,0.00000000,0.00000000
